segment,threshold,rows,mae,rmse
high,30.0,287,5.356322993284759,6.5710156229868435
low,1.0,1448,1.2687844842535638,2.147964363463336
medium,14.0,1008,4.023586871467122,5.040270354264593
mega,49.0,48,9.84636342997713,11.49416137680735
