location_id,segment_datetime,segment,time_segment,segment_start_hour,orders_count,prediction,error,abs_error,peak_threshold
434,2026-04-11 11:00:00+03:00,medium,lunch,11,16.0,19.115758524429836,3.115758524429836,3.115758524429836,14.0
14,2026-01-30 11:00:00+03:00,medium,lunch,11,20.0,16.898630829109877,-3.1013691708901234,3.1013691708901234,14.0
10,2026-03-27 11:00:00+03:00,medium,lunch,11,16.0,19.097993138124906,3.097993138124906,3.097993138124906,14.0
115,2026-04-09 15:00:00+03:00,medium,afternoon,15,14.0,10.90424016178337,-3.0957598382166296,3.0957598382166296,14.0
115,2026-02-16 15:00:00+03:00,medium,afternoon,15,15.0,11.911476232518345,-3.0885237674816555,3.0885237674816555,14.0
478,2026-03-20 18:00:00+03:00,low,dinner,18,7.0,3.9116587981422923,-3.0883412018577077,3.0883412018577077,1.0
123,2026-03-20 11:00:00+03:00,medium,lunch,11,25.0,28.08424630704666,3.0842463070466586,3.0842463070466586,14.0
478,2026-02-15 15:00:00+03:00,low,afternoon,15,2.0,5.0839301710295866,3.0839301710295866,3.0839301710295866,1.0
115,2026-04-09 18:00:00+03:00,medium,dinner,18,14.0,10.922152047596807,-3.077847952403193,3.077847952403193,14.0
115,2026-02-06 11:00:00+03:00,medium,lunch,11,25.0,21.923199725798415,-3.0768002742015845,3.0768002742015845,14.0
11,2026-04-03 06:00:00+03:00,medium,opening,6,14.0,17.069468962599835,3.069468962599835,3.069468962599835,14.0
12,2026-02-06 11:00:00+03:00,medium,lunch,11,26.0,22.934985285794305,-3.065014714205695,3.065014714205695,14.0
115,2026-02-20 11:00:00+03:00,medium,lunch,11,26.0,22.936082045271252,-3.0639179547287476,3.0639179547287476,14.0
115,2026-04-07 11:00:00+03:00,medium,lunch,11,18.0,21.063179730489527,3.0631797304895265,3.0631797304895265,14.0
434,2026-02-22 11:00:00+03:00,medium,lunch,11,23.0,19.951032181570937,-3.0489678184290625,3.0489678184290625,14.0
12,2026-03-24 18:00:00+03:00,medium,dinner,18,15.0,11.951690583363654,-3.0483094166363465,3.0483094166363465,14.0
14,2026-02-06 11:00:00+03:00,medium,lunch,11,16.0,19.04463519446095,3.0446351944609518,3.0446351944609518,14.0
478,2026-02-21 15:00:00+03:00,low,afternoon,15,2.0,5.044343770843413,3.0443437708434127,3.0443437708434127,1.0
29,2026-04-09 11:00:00+03:00,high,lunch,11,37.0,40.04307868043445,3.043078680434448,3.043078680434448,30.0
12,2026-02-24 18:00:00+03:00,medium,dinner,18,15.0,11.967383581843254,-3.0326164181567457,3.0326164181567457,14.0
434,2026-03-13 18:00:00+03:00,medium,dinner,18,16.0,12.97197376865843,-3.0280262313415705,3.0280262313415705,14.0
12,2026-02-07 11:00:00+03:00,medium,lunch,11,29.0,25.972786928208567,-3.027213071791433,3.027213071791433,14.0
12,2026-03-18 15:00:00+03:00,medium,afternoon,15,16.0,12.974752541458777,-3.025247458541223,3.025247458541223,14.0
99,2026-03-08 11:00:00+03:00,mega,lunch,11,50.0,46.97480988417703,-3.025190115822973,3.025190115822973,49.0
4,2026-01-27 11:00:00+03:00,high,lunch,11,31.0,27.975744358024322,-3.024255641975678,3.024255641975678,30.0
20,2026-04-11 11:00:00+03:00,medium,lunch,11,15.0,11.97909913105731,-3.0209008689426895,3.0209008689426895,14.0
11,2026-04-09 00:00:00+03:00,medium,deep_night,0,17.0,20.02014458698946,3.02014458698946,3.02014458698946,14.0
115,2026-03-16 18:00:00+03:00,medium,dinner,18,14.0,10.980971799647506,-3.019028200352494,3.019028200352494,14.0
434,2026-03-02 18:00:00+03:00,medium,dinner,18,15.0,11.988006353306755,-3.011993646693245,3.011993646693245,14.0
478,2026-04-03 15:00:00+03:00,low,afternoon,15,1.0,4.005042397259947,3.005042397259947,3.005042397259947,1.0
30,2026-02-08 11:00:00+03:00,high,lunch,11,36.0,33.001339585195865,-2.998660414804135,2.998660414804135,30.0
11,2026-03-26 00:00:00+03:00,medium,deep_night,0,23.0,20.0071597269591,-2.992840273040901,2.992840273040901,14.0
69,2026-04-13 11:00:00+03:00,mega,lunch,11,50.0,47.01057747116995,-2.9894225288300476,2.9894225288300476,49.0
347,2026-02-27 21:00:00+03:00,low,late_evening,21,3.0,0.013716838961320477,-2.9862831610386795,2.9862831610386795,1.0
478,2026-02-09 15:00:00+03:00,low,afternoon,15,2.0,4.985091015499422,2.985091015499422,2.985091015499422,1.0
25,2026-03-02 11:00:00+03:00,medium,lunch,11,21.0,18.025593375240987,-2.9744066247590126,2.9744066247590126,14.0
123,2026-02-22 11:00:00+03:00,medium,lunch,11,26.0,23.02742579557403,-2.972574204425971,2.972574204425971,14.0
14,2026-03-22 11:00:00+03:00,medium,lunch,11,14.0,16.969565509999804,2.9695655099998035,2.9695655099998035,14.0
434,2026-02-09 11:00:00+03:00,medium,lunch,11,23.0,20.03444171995711,-2.9655582800428917,2.9655582800428917,14.0
35,2026-03-06 11:00:00+03:00,high,lunch,11,34.0,31.03768948270415,-2.962310517295851,2.962310517295851,30.0
25,2026-02-26 11:00:00+03:00,medium,lunch,11,21.0,18.03851379404465,-2.9614862059553495,2.9614862059553495,14.0
434,2026-02-13 18:00:00+03:00,medium,dinner,18,15.0,12.048304071837327,-2.951695928162673,2.951695928162673,14.0
12,2026-01-31 11:00:00+03:00,medium,lunch,11,27.0,24.053138937273513,-2.9468610627264873,2.9468610627264873,14.0
