weekday,hour,rows,mae,rmse,bias,error_std,abs_error_p95,abs_error_p99,mean_orders,mean_pred
0,0,84.0,3.533441182067321,5.056950917240447,2.1518333355819648,4.603768406034872,10.145292853986103,12.599239019032293,4.869047619047619,7.0208809546295825
0,6,158.0,2.1533039070184685,3.2914715105449903,0.12829991081862738,3.299427827585441,7.356817595457236,10.535268754560542,4.291139240506329,4.419439151324957
0,8,704.0,0.9538759898221847,1.4797615915319278,0.32762307723177186,1.444063568104542,3.1655749861755345,4.882533301191925,1.6590909090909092,1.9867139863226806
0,9,1077.0,1.368147903789028,2.301346199389591,0.6687944519614918,2.2030466928400165,5.228180745359979,7.580878091911122,3.1318477251624883,3.80064217712398
0,11,1422.0,1.9280587006892853,3.6004241076124823,0.7446895905663282,3.5238080811797317,8.1797334742358,13.389097570159565,6.020393811533052,6.76508340209938
0,15,1412.0,1.3063788645468881,2.391317231798431,0.24985186025373474,2.3790713810000472,5.368597084723675,9.309625052746192,3.409348441926346,3.6592003021800807
0,18,1393.0,1.195516666445317,2.1884893478923684,0.3663458515652579,2.1583838052109443,5.128942701204122,7.9162474673274374,3.2333094041636756,3.5996552557289334
0,21,1145.0,0.6881142995371047,1.2283452652699332,0.22683311531901737,1.2077469772465308,2.868755676086532,4.517006530547141,1.485589519650655,1.7124226349696727
1,0,82.0,4.318189741183214,6.43997265624908,2.5177761356353106,5.963874987111071,17.62968602522343,19.07063242500152,4.121951219512195,6.639727355147507
1,6,154.0,1.9993432645935774,3.071654667276493,0.050102274516714514,3.0812664319696714,7.172747480011702,9.465262212230344,4.642857142857143,4.692959417373857
1,8,673.0,0.9415461732087462,1.5261573943805278,0.28545409812661343,1.5003389952961765,3.35569652600077,5.669563682711979,1.6805349182763745,1.9659890164029878
1,9,1028.0,1.3365800433962922,2.3610879585730666,0.7098008730063897,2.2529661942792627,5.247410780391582,9.376194888889751,2.97568093385214,3.685481806858529
1,11,1358.0,1.8920834756845124,3.543237633118717,0.8263614396735464,3.446796796357899,8.230133975412562,13.694886036599872,5.774668630338733,6.60103007001228
1,15,1355.0,1.2475322868056153,2.254341178683842,0.4093377719694865,2.2176849081626866,5.545238283382861,8.271205926766507,3.124723247232472,3.534061019201959
1,18,1342.0,1.1400011991502932,2.1121304841967543,0.41058076689370226,2.0726117821334205,4.935941814794403,8.124615869785483,3.0216095380029806,3.432190304896683
1,21,1110.0,0.7742021589947247,1.4310808505545272,0.2545078416880442,1.4089025706007374,3.2249664550659123,5.448927590824583,1.4054054054054055,1.6599132470934497
