hour,rows,mae,rmse,bias,error_std,abs_error_p95,abs_error_p99,mean_orders,mean_pred
0,591.0,3.21065694333279,4.95991806697294,1.9004778102499758,4.585253084781642,10.723428089386893,18.029294302801976,4.744500846023689,6.644978656273664
6,1072.0,1.6914775010791148,2.575841237635699,0.35775133999889036,2.55206733147818,5.8867005221233715,8.564677399221049,4.066231343283582,4.423982683282472
8,4619.0,0.9764110055552149,1.564279000436443,0.25845968300782995,1.5429461410991816,3.3935742261082043,5.7145541750148405,1.835462221260013,2.093921904267843
9,7229.0,1.3773493830018768,2.343673544388985,0.555806534898511,2.2769721064032917,5.334996493905909,8.240570514479149,3.454143034997925,4.009949569896436
11,9550.0,1.82855360696419,3.3552850509809184,0.6867559549359031,3.284422872575283,7.829787751694244,13.02572292466757,5.993193717277487,6.67994967221339
15,9523.0,1.27666506045947,2.2281938846811276,0.308437541515341,2.2068587829496553,5.199131509461085,8.191674615088939,3.2932899296440197,3.6017274711593603
18,9422.0,1.219335111333452,2.178436133091789,0.2606569906373962,2.1629004672991843,5.1058396061322995,8.142492520678454,3.2967522818934407,3.5574092725308373
21,7928.0,0.7622650549923861,1.3672961174197797,0.22946061474916832,1.3479895015271077,3.118867346191289,5.2674509527441336,1.474268415741675,1.7037290304908435
