is_weekend,hour,rows,mae,rmse,bias,error_std,abs_error_p95,abs_error_p99,mean_orders,mean_pred
0,0,416.0,3.4291780400130225,5.255704376711876,2.0998472221704523,4.823795730304083,10.701826760692935,18.678854729789503,4.418269230769231,6.518116452939683
0,6,764.0,1.8042346225841313,2.7381753028141573,0.19661744585944674,2.7328961528482316,6.259416791635841,9.099883411603988,4.56544502617801,4.762062472037457
0,8,3364.0,0.941911638758785,1.4998542563613269,0.2833902446096203,1.473057295084451,3.2789487438833134,5.159472602429215,1.7125445897740785,1.9959348343836985
0,9,5130.0,1.31879330929386,2.2362237239784846,0.5741958682094747,2.1614593106528477,5.084190855880727,7.725683604520212,3.1730994152046783,3.747295283414153
0,11,6779.0,1.8517583229740107,3.381113123135281,0.7031193648318854,3.307440520112542,7.85724092157376,13.26825723926881,6.011211093081576,6.714330457913461
0,15,6763.0,1.2548429413119326,2.208144317885262,0.289973608380333,2.1891837003801244,5.2066200788727635,8.146545415877126,3.333136182167677,3.6231097905480096
0,18,6685.0,1.193805985375799,2.164982454564987,0.2762740024976291,2.1474430222514815,5.034899087140393,8.13615520055805,3.268362004487659,3.544636006985288
0,21,5526.0,0.7565639960189067,1.3735163284140013,0.22377244608888364,1.3552879362312138,3.1119715011912468,5.327982195480105,1.4960188201230546,1.7197912662119381
1,0,175.0,2.691201079224351,4.173477480806237,1.4265482367704434,3.933355022771889,10.845161827354337,12.90244218725414,5.52,6.946548236770445
1,6,308.0,1.411781264618619,2.120176432120036,0.7574471033837442,1.9834806150855517,4.580942872556834,5.960408662779102,2.8279220779220777,3.5853691813058224
1,8,1255.0,1.0688858022908234,1.7251409365437718,0.19163385892143744,1.7151477266976594,3.7238168810290726,6.319320100608046,2.164940239043825,2.3565740979652623
1,9,2099.0,1.5204616546179448,2.587572363068843,0.510862618802635,2.5372459697983794,5.96765138338086,9.288937208228655,4.141019533111005,4.6518821519136395
1,11,2771.0,1.77178537534002,3.29124467140187,0.6467243577923218,3.227661486737569,7.755119125734488,12.841282006213794,5.949115842656081,6.595840200448403
1,15,2760.0,1.330137158935846,2.2765762736241073,0.35368086752695665,2.249342690912388,5.162603992812309,8.206818883537423,3.1956521739130435,3.549333041440001
1,18,2737.0,1.2816888588770807,2.2109520017402176,0.22251313813989645,2.200128456109767,5.298691847642975,8.141628671029443,3.3660942637924736,3.58860740193237
1,21,2402.0,0.7753808134800827,1.3528774309386964,0.24254671800342859,1.3312348511166798,3.1354491853856286,5.034797861334127,1.4242298084929226,1.6667765264963514
