segment,threshold,rows,mae,rmse
high,24.0,244,5.051407548861682,6.340547746111795
low,0.0,20321,0.308902866040312,0.8023971633421665
medium,11.0,1154,3.353061160837061,4.34776173991365
mega,36.0,47,8.004901127430854,9.870550854758948
