location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error,peak_threshold
478,2026-03-31 04:00:00+03:00,low,lunch,0.0,3.5025466182270475,3.5025466182270475,3.5025466182270475,0.0
481,2026-03-29 04:00:00+03:00,low,lunch,0.0,3.498383916400143,3.498383916400143,3.498383916400143,0.0
478,2026-02-03 04:00:00+03:00,low,lunch,0.0,3.497614037552194,3.497614037552194,3.497614037552194,0.0
478,2026-02-26 04:00:00+03:00,low,lunch,0.0,3.497614037552194,3.497614037552194,3.497614037552194,0.0
8,2026-03-01 05:00:00+03:00,high,afternoon,30.0,26.503054160236598,-3.496945839763402,3.496945839763402,24.0
123,2026-02-16 02:00:00+03:00,medium,early_morning,13.0,9.503294636762547,-3.496705363237453,3.496705363237453,11.0
482,2026-04-06 02:00:00+03:00,low,early_morning,0.0,3.4925670848731234,3.4925670848731234,3.4925670848731234,0.0
483,2026-04-06 02:00:00+03:00,low,early_morning,0.0,3.4925670848731234,3.4925670848731234,3.4925670848731234,0.0
26,2026-03-02 05:00:00+03:00,medium,afternoon,16.0,12.507474904899443,-3.4925250951005573,3.4925250951005573,11.0
480,2026-02-14 03:00:00+03:00,low,morning,0.0,3.4923945298580494,3.4923945298580494,3.4923945298580494,0.0
115,2026-03-02 06:00:00+03:00,medium,dinner,11.0,7.510270671154828,-3.489729328845172,3.489729328845172,11.0
11,2026-03-07 00:00:00+03:00,medium,deep_night,24.0,27.488198552563738,3.4881985525637376,3.4881985525637376,11.0
481,2026-03-22 07:00:00+03:00,low,late_evening,0.0,3.482551321193303,3.482551321193303,3.482551321193303,0.0
69,2026-03-01 05:00:00+03:00,mega,afternoon,36.0,39.47597339537968,3.4759733953796825,3.4759733953796825,36.0
443,2026-04-07 05:00:00+03:00,low,afternoon,1.0,4.474780082390936,3.474780082390936,3.474780082390936,0.0
479,2026-04-01 02:00:00+03:00,medium,early_morning,11.0,7.52892743971298,-3.47107256028702,3.47107256028702,11.0
35,2026-04-10 05:00:00+03:00,high,afternoon,25.0,21.535765148630126,-3.4642348513698735,3.4642348513698735,24.0
483,2026-03-18 05:00:00+03:00,low,afternoon,0.0,3.4593363421231804,3.4593363421231804,3.4593363421231804,0.0
25,2026-01-27 05:00:00+03:00,medium,afternoon,15.0,11.543011947126612,-3.4569880528733883,3.4569880528733883,11.0
25,2026-04-04 04:00:00+03:00,medium,lunch,12.0,8.561369595252941,-3.438630404747059,3.438630404747059,11.0
478,2026-04-12 07:00:00+03:00,low,late_evening,1.0,4.436473519960331,3.436473519960331,3.436473519960331,0.0
480,2026-03-29 07:00:00+03:00,low,late_evening,0.0,3.4343413097426128,3.4343413097426128,3.4343413097426128,0.0
434,2026-02-22 06:00:00+03:00,medium,dinner,11.0,7.5676655447155055,-3.4323344552844945,3.4323344552844945,11.0
480,2026-02-28 07:00:00+03:00,low,late_evening,0.0,3.413574875616883,3.413574875616883,3.413574875616883,0.0
29,2026-02-25 05:00:00+03:00,high,afternoon,29.0,25.58974431290493,-3.41025568709507,3.41025568709507,24.0
478,2026-03-17 06:00:00+03:00,low,dinner,0.0,3.4096476489705245,3.4096476489705245,3.4096476489705245,0.0
67,2026-02-27 02:00:00+03:00,low,early_morning,0.0,3.3992782175336638,3.3992782175336638,3.3992782175336638,0.0
434,2026-03-08 06:00:00+03:00,medium,dinner,11.0,7.606711778180751,-3.3932882218192493,3.3932882218192493,11.0
123,2026-02-19 05:00:00+03:00,medium,afternoon,16.0,19.39242759120645,3.3924275912064488,3.3924275912064488,11.0
478,2026-03-16 07:00:00+03:00,low,late_evening,0.0,3.3906898614952494,3.3906898614952494,3.3906898614952494,0.0
480,2026-03-30 07:00:00+03:00,low,late_evening,0.0,3.3906898614952494,3.3906898614952494,3.3906898614952494,0.0
483,2026-04-08 00:00:00+03:00,low,deep_night,0.0,3.3903201596824997,3.3903201596824997,3.3903201596824997,0.0
