segment,time_segment,rows,mae,rmse,mean_orders,mean_pred
high,afternoon,1061.0,2.671403377854092,3.3441297753710018,9.137606032045241,9.389033745451252
high,deep_night,163.0,1.562772855850425,2.3777518214054827,2.5950920245398774,1.8713658342449935
high,dinner,1061.0,2.3301706304248726,2.9562728712140993,7.7285579641847315,7.939057541286012
high,early_morning,987.0,1.2397246627846672,1.6377759009008712,2.4083080040526847,2.32328979493865
high,late_evening,1060.0,1.3499453662954357,1.819305274521937,2.970754716981132,2.886161879129376
high,lunch,1063.0,3.8994499180178894,4.97133417807693,16.925682031984948,18.745297760998554
high,morning,1064.0,2.3335275539900184,3.0260643822236775,7.2669172932330826,7.619653026480257
high,opening,326.0,1.3487414503168635,2.177565759888143,3.128834355828221,2.7459733823392822
low,afternoon,4025.0,0.30801408248792467,0.5120801907947873,0.18012422360248448,0.2430212725939828
low,deep_night,22.0,0.023992110291334013,0.02863086758123823,0.0,0.023992110291334013
low,dinner,3929.0,0.2794735382271915,0.5271286924679465,0.19114278442351743,0.2305789554010179
low,early_morning,1213.0,0.04060911863175739,0.1389999485483735,0.018961253091508656,0.02623975809758886
low,late_evening,2984.0,0.10405314397082903,0.21574591339553742,0.03987935656836461,0.07667300520281531
low,lunch,4040.0,0.3046422734870416,0.4767864644453474,0.18613861386138614,0.24402529140541318
low,morning,2617.0,0.1386649481861583,0.29315909620556807,0.06954528085594192,0.09208889079287594
low,opening,5.0,0.05906595654999123,0.06063568998424665,0.0,0.05906595654999123
medium,afternoon,3392.0,1.0935586285795773,1.7590604951209283,1.640625,1.557887038460221
medium,deep_night,215.0,1.9606944638975157,2.4871940499467606,1.827906976744186,2.972352565334532
medium,dinner,3387.0,1.0984836774094688,1.8404983138157092,1.7271922054915854,1.5854164638569672
medium,early_morning,1415.0,0.6259453527127719,1.0090546194417889,0.8473498233215547,0.6970770757050806
medium,late_evening,2629.0,0.5653718011287453,0.9770480722452606,0.7219475085583872,0.6901910901288043
medium,lunch,3400.0,1.5884594355218402,2.664465789729369,2.780294117647059,2.890013245785775
medium,morning,2500.0,0.9632608801735034,1.5747416214144203,1.5856,1.620257051122481
medium,opening,295.0,1.1601760795213234,2.275147945281703,2.0983050847457627,2.015284065698241
mega,afternoon,1045.0,3.6197565429020955,4.654245220674538,14.714832535885167,15.309324962685004
mega,deep_night,191.0,5.010777421899219,6.4540657374478565,10.408376963350785,11.944285535834746
mega,dinner,1045.0,3.5573821877093406,4.659564824365934,15.560765550239234,16.099606268185216
mega,early_morning,1004.0,1.8891481768164684,2.4858998501812857,4.859561752988048,4.835058406775137
mega,late_evening,1153.0,1.9127044045354924,2.478737400411505,5.535125758889852,5.703728121601549
mega,lunch,1047.0,5.7991419213983555,7.462506195814361,27.73447946513849,30.35112525265956
mega,morning,1048.0,3.308693120339839,4.292736391868304,12.492366412213741,13.373103783056417
mega,opening,446.0,2.4877217634795747,3.4186552980006137,6.098654708520179,6.207802188593758
