segment,threshold,rows,mae,rmse
high,22.0,281,4.089398403862927,5.251356140838136
low,1.0,1910,0.9107856518399909,1.1573703728654652
medium,8.0,869,4.158654898420827,5.49510176921835
mega,35.0,296,6.1575536936658315,7.861299361642987
