feature,importance,model
rolling_mean_7d_same_seg,24.851526435873733,baseline_log
location_seg_mean_orders,20.797642151962425,baseline_log
location_seg_mean_share,5.981719096650647,baseline_log
location_seg_std_orders,4.984956940841185,baseline_log
month,4.40704855246682,baseline_log
is_weekend,3.844557079456927,baseline_log
lag_7d_same_seg,3.5741189924048085,baseline_log
lag_1d_same_seg,3.2423091801533435,baseline_log
rolling_max_7d_same_seg,3.1546147288626907,baseline_log
rolling_std_7d_same_seg,3.0229447365132507,baseline_log
location_mean_orders,2.7889211612658094,baseline_log
surge_ratio_d1,2.6570330864527736,baseline_log
location_std_orders,2.2807725365851548,baseline_log
deviation_from_seg_mean,2.1847472996239548,baseline_log
z_rolling_max_7d,1.9326303185591933,baseline_log
lag_2d_same_seg,1.7263355112785908,baseline_log
z_lag_1d,1.5810948924649837,baseline_log
trend_7d_same_seg,1.2530024394074857,baseline_log
segment,1.2226147998909276,baseline_log
segment_sin,0.9762648245938429,baseline_log
open_hours,0.9292363554082705,baseline_log
weekday,0.7427750743661651,baseline_log
segment_cos,0.682797238507305,baseline_log
time_segment,0.6656966216832244,baseline_log
segment_rank,0.5146399447266163,baseline_log
lag_1seg,0.0,baseline_log
lag_2seg,0.0,baseline_log
surge_ratio_same_day,0.0,baseline_log
rolling_mean_7d_same_seg,11.244345686034306,mega_lunch_residual
surge_ratio_d1,9.30325957560893,mega_lunch_residual
z_rolling_max_7d,7.656424113613435,mega_lunch_residual
rolling_std_7d_same_seg,7.550293839384334,mega_lunch_residual
lag_7d_same_seg,6.8248491699859875,mega_lunch_residual
lag_2d_same_seg,6.704130949874706,mega_lunch_residual
month,6.254659465429605,mega_lunch_residual
trend_7d_same_seg,6.0780039066769245,mega_lunch_residual
deviation_from_seg_mean,5.811968013256176,mega_lunch_residual
z_lag_1d,5.304062777066768,mega_lunch_residual
location_seg_mean_share,4.763687992882385,mega_lunch_residual
is_weekend,4.468064945935573,mega_lunch_residual
rolling_max_7d_same_seg,4.3599192066201935,mega_lunch_residual
lag_1d_same_seg,3.0263596094237055,mega_lunch_residual
location_seg_std_orders,2.663294680873972,mega_lunch_residual
weekday,2.4371052751375304,mega_lunch_residual
location_seg_mean_orders,2.2902385207502483,mega_lunch_residual
location_mean_orders,2.0040885820655276,mega_lunch_residual
location_std_orders,1.2538086341423824,mega_lunch_residual
open_hours,0.0014350552372886984,mega_lunch_residual
lag_2seg,0.0,mega_lunch_residual
lag_1seg,0.0,mega_lunch_residual
segment_rank,0.0,mega_lunch_residual
surge_ratio_same_day,0.0,mega_lunch_residual
segment_cos,0.0,mega_lunch_residual
segment_sin,0.0,mega_lunch_residual
time_segment,0.0,mega_lunch_residual
segment,0.0,mega_lunch_residual
