segment,rows,mae,rmse,mean_orders,mean_pred
high,7084.0,2.6105006440796372,3.552538740083574,8.45595708639187,9.500926734516533
low,18528.0,0.30387132958901947,0.7979384545658724,0.11544689119170984,0.2747948123849104
medium,19848.0,1.217601850985358,1.9925784897633734,2.2958484482063684,2.4977203734470765
mega,4474.0,3.5446338406038618,4.739362673828449,14.382878855610192,15.453682787678757
