segment,threshold,rows,mae,rmse
high,25.0,277,4.1973103044374085,5.309249960230411
low,1.0,1448,1.2070994290918764,2.0425353302975315
medium,10.0,1163,3.7898409923825667,4.77473377845085
mega,38.0,195,6.955867904919956,8.7359261924651
