location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error,peak_threshold
443,2026-04-06 04:00:00+03:00,low,lunch,44.0,2.2289167730495323,-41.771083226950466,41.771083226950466,1.0
69,2026-03-08 04:00:00+03:00,mega,lunch,46.0,70.95280238390717,24.95280238390717,24.95280238390717,38.0
69,2026-02-19 04:00:00+03:00,mega,lunch,71.0,46.50208926636106,-24.49791073363894,24.49791073363894,38.0
69,2026-03-09 03:00:00+03:00,mega,morning,40.0,18.446290594033247,-21.553709405966753,21.553709405966753,38.0
69,2026-02-20 04:00:00+03:00,mega,lunch,73.0,51.879402848664235,-21.120597151335765,21.120597151335765,38.0
69,2026-02-20 06:00:00+03:00,mega,dinner,53.0,32.71466476286626,-20.285335237133737,20.285335237133737,38.0
443,2026-04-09 04:00:00+03:00,low,lunch,27.0,6.800161599301781,-20.19983840069822,20.19983840069822,1.0
8,2026-02-12 04:00:00+03:00,mega,lunch,56.0,36.40908757800184,-19.590912421998162,19.590912421998162,38.0
69,2026-03-09 04:00:00+03:00,mega,lunch,72.0,53.31770267503603,-18.68229732496397,18.68229732496397,38.0
11,2026-03-21 00:00:00+03:00,medium,deep_night,11.0,29.660197153505727,18.660197153505727,18.660197153505727,10.0
69,2026-02-02 05:00:00+03:00,mega,afternoon,46.0,27.65854466949358,-18.34145533050642,18.34145533050642,38.0
16,2026-04-11 04:00:00+03:00,medium,lunch,26.0,7.821606260136706,-18.178393739863296,18.178393739863296,10.0
69,2026-03-06 04:00:00+03:00,mega,lunch,68.0,49.82423581138896,-18.17576418861104,18.17576418861104,38.0
2,2026-02-24 04:00:00+03:00,high,lunch,35.0,16.943419882524484,-18.056580117475516,18.056580117475516,25.0
69,2026-02-13 04:00:00+03:00,mega,lunch,62.0,44.65742210399943,-17.34257789600057,17.34257789600057,38.0
69,2026-02-23 06:00:00+03:00,mega,dinner,48.0,31.180235524245145,-16.819764475754855,16.819764475754855,38.0
69,2026-04-06 05:00:00+03:00,mega,afternoon,43.0,26.492745078747074,-16.507254921252926,16.507254921252926,38.0
69,2026-02-22 04:00:00+03:00,mega,lunch,38.0,54.432989488995496,16.432989488995496,16.432989488995496,38.0
69,2026-04-05 04:00:00+03:00,mega,lunch,76.0,59.97436392950435,-16.02563607049565,16.02563607049565,38.0
69,2026-03-04 04:00:00+03:00,mega,lunch,65.0,49.29622225155861,-15.70377774844139,15.70377774844139,38.0
69,2026-02-17 04:00:00+03:00,mega,lunch,60.0,44.37279861651458,-15.62720138348542,15.62720138348542,38.0
69,2026-04-11 05:00:00+03:00,mega,afternoon,42.0,26.372903413219635,-15.627096586780365,15.627096586780365,38.0
10,2026-02-03 04:00:00+03:00,medium,lunch,34.0,18.447768001302567,-15.552231998697433,15.552231998697433,10.0
16,2026-02-13 04:00:00+03:00,medium,lunch,23.0,7.465504104098917,-15.534495895901083,15.534495895901083,10.0
69,2026-03-04 06:00:00+03:00,mega,dinner,49.0,33.97056827644164,-15.02943172355836,15.02943172355836,38.0
