is_weekend,hour,rows,mae,rmse,bias,error_std,abs_error_p95,abs_error_p99,mean_orders,mean_pred
0,0,416.0,2.46074527707692,3.953594164628554,0.269283400462954,3.9491623634743456,8.2949431243011,13.585440582414076,4.418269230769231,4.687552631232185
0,6,764.0,1.8141642557217448,2.9014371181901026,-0.4660654495059431,2.865635857370506,6.465260751329125,10.390805840460498,4.56544502617801,4.099379576672068
0,8,3364.0,0.8669112718000028,1.4458374264574625,0.007148282821859835,1.4460346994831774,3.2055229706667796,5.32393994123303,1.7125445897740785,1.7196928725959384
0,9,5130.0,1.1835322549605733,2.0763355329032565,0.2692948511770851,2.058998770492799,4.690512608387625,7.5574063607568,3.1730994152046783,3.442394266381764
0,11,6779.0,1.6892208110942912,3.1737207287051303,0.31627938023879903,3.158154827954597,7.307092304211515,12.203597181054288,6.011211093081576,6.327490473320375
0,15,6763.0,1.1423420924040182,2.1065797623160023,-0.05029909189559331,2.106134893431267,4.810131454422838,8.134773264512276,3.333136182167677,3.282837090272084
0,18,6685.0,1.0990529347571156,2.072894222424543,-0.04065849664211763,2.072650467110885,4.727778219490105,8.043866232989611,3.268362004487659,3.227703507845541
0,21,5526.0,0.6860093421125367,1.312102468189646,0.014952535221495424,1.31213599615116,3.0323940610400215,5.1873584107227675,1.4960188201230546,1.51097135534455
1,0,175.0,2.1070620575856283,3.3678321913057148,0.1836099300471525,3.372472817914066,7.659292228465223,11.571857444630513,5.52,5.703609930047153
1,6,308.0,1.2943475348887845,1.9247960547754506,0.2002555340891414,1.9174657309807912,4.147712117357797,5.905988780550906,2.8279220779220777,3.0281776120112194
1,8,1255.0,0.9761478119117771,1.6712159361074117,-0.12527057301359681,1.6671786699375624,3.6417203733039663,6.6144690195861395,2.164940239043825,2.039669666030228
1,9,2099.0,1.3420235716064222,2.449827441219852,0.05859964609831218,2.449710103587091,5.821538606813598,8.904617354233856,4.141019533111005,4.199619179209317
1,11,2771.0,1.6577966243679811,3.198781974103455,0.3025915740266401,3.18501261216542,7.5416500339050065,13.10089739154225,5.949115842656081,6.251707416682722
1,15,2760.0,1.1947104034980616,2.1646367817951018,-0.0207928793295138,2.1649291471181966,4.88317884182761,8.458695015507,3.1956521739130435,3.1748592945835297
1,18,2737.0,1.1717284425895238,2.1322114395609093,-0.08391042247111208,2.1309490278434753,5.020237956960106,7.972191406665473,3.3660942637924736,3.2821838413213618
1,21,2402.0,0.6936365073466697,1.2758904520785155,0.020026679279329895,1.2759989100554332,2.9645017452713094,5.216072195717119,1.4242298084929226,1.4442564877722524
