segment,threshold,rows,mae,rmse
high,30.0,287,5.446608424483614,6.682163503797696
low,1.0,1448,1.1980227250672504,1.987590631521624
medium,14.0,1008,4.252837996237376,5.374553371784729
mega,49.0,48,9.862388041692666,11.592543838195848
