weekday,hour,rows,mae,rmse,bias,error_std,abs_error_p95,abs_error_p99,mean_orders,mean_pred
0,0,84.0,2.538015396763034,3.582662004825396,0.2892658747376115,3.592412608021684,7.189764658312518,9.952081554685739,4.869047619047619,5.158313493785231
0,6,158.0,2.2441916771877,3.5113716662130763,-0.5652515287795067,3.476596024102501,8.552373349348214,11.286713329241055,4.291139240506329,3.7258877117268225
0,8,704.0,0.8572549940913503,1.4108137285778755,0.016015566342460954,1.41172582373203,3.1155878629840448,4.503274636165084,1.6590909090909092,1.6751064754333702
0,9,1077.0,1.2009246149724706,2.106313984896961,0.28436718402034417,2.0879995091689874,4.645796269727452,7.0486282345841715,3.1318477251624883,3.4162149091828327
0,11,1422.0,1.7955933108630078,3.464043762855779,0.357113422182891,3.446799083667941,7.753946672671971,12.45727050191484,6.020393811533052,6.377507233715942
0,15,1412.0,1.206565637774814,2.3188159300209,-0.10021781589381097,2.317470020395584,5.161276428560553,9.68030727380569,3.409348441926346,3.309130626032535
0,18,1393.0,1.0966127188089787,2.094398288556647,0.02362695491065355,2.095017131518602,4.785152339183329,8.032300493367346,3.2333094041636756,3.2569363590743294
0,21,1145.0,0.6316257225682724,1.1670584622273459,0.012114227040276761,1.167505525969173,2.8836242415889446,4.2175190586273015,1.485589519650655,1.4977037466909318
1,0,82.0,3.1700441564567168,4.945345723576655,0.13842896714057154,4.973829167063741,11.61042011791886,14.86198938817058,4.121951219512195,4.260380186652767
1,6,154.0,2.174656775450488,3.5161825752227114,-0.736223527753551,3.449460772675006,8.906863222539712,10.944479015480972,4.642857142857143,3.9066336151035914
1,8,673.0,0.8745423647875233,1.4785869964511908,0.0034146022041052736,1.4796827808866004,3.423631044925239,5.670442465955749,1.6805349182763745,1.6839495204804797
1,9,1028.0,1.1758950545416516,2.1654618905496976,0.3758905702946671,2.133625985076535,4.705216546084714,8.993571694117499,2.97568093385214,3.3515715041468073
1,11,1358.0,1.6882679797607356,3.206268902778884,0.41547051780212624,3.1804076742139133,7.518913366974568,12.960541094001407,5.774668630338733,6.190139148140859
1,15,1355.0,1.1006511447331333,2.074683545808984,0.08014258939007493,2.0739004790485827,4.965801181847485,7.752226498732522,3.124723247232472,3.2048658366225475
1,18,1342.0,1.032224436430573,1.9473162862300488,0.09316476133578284,1.9458114873186196,4.530192686709685,7.416066031408566,3.0216095380029806,3.1147742993387633
1,21,1110.0,0.6877799509525186,1.3375458654932277,0.04922149655061906,1.337242383809149,3.0277322933153967,5.387985235663062,1.4054054054054055,1.4546269019560245
2,0,80.0,2.8787985004773313,5.0207733319641825,0.7316101496377032,4.998522459146525,9.600135270824014,20.02545931438974,4.25,4.981610149637704
2,6,151.0,1.5174334679400712,2.4095684317190638,-0.33605614107875964,2.393959106966572,4.764117662487333,8.929389309795441,4.509933774834437,4.173877633755678
2,8,665.0,0.8616593949605612,1.4729498262126994,-0.00993333012938289,1.4740250379296835,2.9575676729873055,5.422968230770325,1.738345864661654,1.7284125345322714
2,9,1021.0,1.1348313293955155,1.9599268476006813,0.27731792844716524,1.9411590894618531,4.7375937776964925,6.908075125516406,3.1047992164544564,3.3821171449016214
2,11,1327.0,1.5874401032865975,2.8927755404313373,0.4492491143852085,2.8587557043412115,6.473437077560709,11.600797031858551,5.834966088922381,6.28421520330759
2,15,1327.0,1.0961780650698165,1.9720469780426182,-0.011496453388970576,1.9727569219678085,4.513363326091701,7.58246967890825,3.244159758854559,3.2326633054655884
2,18,1303.0,1.04654141943605,2.019922363054448,-0.007860001966913069,2.020682615494803,4.6379800543265555,7.44334553026528,3.193399846508058,3.1855398445411454
2,21,1059.0,0.7207773626561886,1.4220378983690678,0.03219962903932057,1.422345008322529,3.134997572975573,5.479581278475275,1.4834749763928234,1.5156746054321442
3,0,80.0,2.173171312517342,3.2472938330688583,-0.13666940225604565,3.264886252349967,7.114112015801947,11.106505521378534,4.9,4.763330597743955
3,6,151.0,1.4725740785060766,2.2266600798839264,-0.21351836155151094,2.2237748358965166,4.787796659921003,7.5227281661088234,4.549668874172186,4.336150512620675
3,8,663.0,0.8786839809678798,1.4620458961769354,0.004873458691027413,1.4631416152053154,3.1715374850549245,5.496741274574997,1.7254901960784315,1.730363654769459
3,9,992.0,1.1763842329537064,2.022664988212853,0.27889204550152574,2.0043559371909634,4.72032865970571,7.405772519919892,3.1955645161290325,3.474456561630558
3,11,1333.0,1.5751725708479134,2.980300006110222,0.14169138574695364,2.978047164606516,6.68328790441231,10.991257162878094,6.143285821455364,6.284977207202317
3,15,1331.0,1.145192908433179,2.151347544341172,-0.19988661646558942,2.142846582936073,4.87650757297097,8.225733648871413,3.473328324567994,3.2734417081024043
3,18,1319.0,1.0572856666943575,1.994249638724513,-0.12326829211212142,1.9911912252472055,4.66142951532782,8.23607824657026,3.329795299469295,3.2065270073571734
3,21,1092.0,0.657139777768329,1.2459240467314157,0.026542048223319518,1.2462120412588766,2.8058152230974676,4.9057613025475,1.4954212454212454,1.5219632936445648
4,0,90.0,1.6263948451875465,2.491324955956151,0.31974584465077827,2.4845627580647878,5.513671234431957,8.033763672042376,3.988888888888889,4.308634733539667
4,6,150.0,1.6336728229534194,2.5221125940838167,-0.4693339246944046,2.486360970752171,5.743062910081351,8.572812500063321,4.846666666666667,4.377332741972262
4,8,659.0,0.8628892472874322,1.4043666849485144,0.02101426228857299,1.4052760758908818,3.2653472716515357,4.910672172220831,1.763277693474962,1.784291955763535
4,9,1012.0,1.228921536710153,2.1173982879641344,0.12747145158453455,2.114602814169274,4.639189232833355,7.8541769227172376,3.464426877470356,3.59189832905489
4,11,1339.0,1.7916267511906954,3.2694662799446834,0.21434314946198602,3.2636515635706336,7.625594845664575,12.697517017018976,6.284540702016431,6.498883851478415
4,15,1338.0,1.1597358264609376,1.9839712915307448,-0.019397257779166212,1.9846182406517758,4.49958601513534,7.17910311497613,3.412556053811659,3.3931587960324934
4,18,1328.0,1.262152781600566,2.2898638123035746,-0.19345560850673302,2.282536829913945,5.271049157595437,8.589071084861802,3.5670180722891565,3.3735624637824233
4,21,1120.0,0.7351255019999926,1.3795863942708924,-0.04371630831323729,1.3795095695360895,3.2645805174693896,5.5580951520417665,1.6089285714285715,1.565212263115334
5,0,90.0,2.016880030340823,3.255931089558324,0.3312170300895127,3.2571863995810495,6.459967279290223,10.379296040993188,5.055555555555555,5.386772585645068
5,6,148.0,1.3672343781062002,1.9482595881633022,0.1837350769276254,1.9461624771677375,4.009650608318366,5.787003006672638,3.222972972972973,3.4067080499005984
5,8,603.0,0.9624447980774071,1.6523659240348547,-0.2799692274438021,1.6298268553930892,3.723486365247789,5.977976920526309,2.427860696517413,2.1478914690736106
5,9,1011.0,1.350513832709696,2.4358794564262105,0.06804554300663211,2.436133967391546,5.81269925158814,8.607402404237732,4.275964391691395,4.344009934698026
5,11,1333.0,1.6189061540752405,3.1327219188444566,0.23400740024557168,3.125142216687741,7.27229937393325,12.951309513622999,5.9894973743435855,6.223504774589157
5,15,1329.0,1.1886752380956802,2.1844953357164147,-0.06734310265917594,2.1842790004412524,4.969174913836192,9.166289828329587,3.201655379984951,3.134312277325775
5,18,1318.0,1.1636239356099471,2.100295334374128,-0.062200618629148496,2.100170968809658,5.021256864422716,8.263097795714607,3.3019726858877085,3.23977206725856
5,21,1212.0,0.7277204835651657,1.310840718219109,-0.04043608207035832,1.310757748178754,3.0613842536718265,5.325412232700907,1.4834983498349834,1.443062267764625
6,0,85.0,2.202548909962481,3.4823986639424827,0.02732005941406514,3.502958096658604,8.587591700510343,11.314877694683943,6.011764705882353,6.039084765296418
6,6,160.0,1.2269272049126754,1.9028347142795587,0.2155369569635437,1.8965241347689918,4.149591859548572,5.89986747264754,2.4625,2.6780369569635436
6,8,652.0,0.9888209980193314,1.6884620035982913,0.017801955546853685,1.689664407475897,3.5947081980345263,6.797653214696444,1.9217791411042944,1.9395810966511482
6,9,1088.0,1.334134183761376,2.4627174911351064,0.04982225476162883,2.4633457850151097,5.816748368051415,8.983201361191286,4.015625,4.065447254761629
6,11,1438.0,1.6938473871636854,3.258822656910774,0.36616786307404237,3.2393121561614877,8.040245242705677,13.196013992295137,5.911682892906815,6.277850755980857
6,15,1431.0,1.2003153893958702,2.1460291458021232,0.0224392987313674,2.146662015448478,4.849158175119671,7.614734603233958,3.1900768693221524,3.2125161680535195
6,18,1419.0,1.1792560960067766,2.1614337407180804,-0.10407499009881324,2.1596877576838556,5.014914101579728,7.743637352757784,3.4256518675123324,3.3215768774135195
6,21,1190.0,0.6589224071980838,1.2392812893003318,0.08160723957834005,1.2371113370428752,2.8584888598244182,4.955129968570362,1.3638655462184874,1.4454727857968273
