location_id,segment_datetime,segment,time_segment,segment_start_hour,orders_count,prediction,error,abs_error,peak_threshold
12,2026-02-15 11:00:00+03:00,medium,lunch,11,29.0,25.465405015850543,-3.5345949841494573,3.5345949841494573,14.0
14,2026-04-12 11:00:00+03:00,medium,lunch,11,15.0,18.533574466915844,3.5335744669158444,3.5335744669158444,14.0
14,2026-01-30 11:00:00+03:00,medium,lunch,11,20.0,16.486037989679755,-3.5139620103202454,3.5139620103202454,14.0
434,2026-04-08 11:00:00+03:00,medium,lunch,11,14.0,17.500574419652253,3.500574419652253,3.500574419652253,14.0
14,2026-01-28 11:00:00+03:00,medium,lunch,11,14.0,17.50040329764089,3.50040329764089,3.50040329764089,14.0
20,2026-04-11 11:00:00+03:00,medium,lunch,11,15.0,11.499687861952577,-3.5003121380474234,3.5003121380474234,14.0
12,2026-03-18 15:00:00+03:00,medium,afternoon,15,16.0,12.5021553858386,-3.4978446141613997,3.4978446141613997,14.0
10,2026-03-13 11:00:00+03:00,medium,lunch,11,17.0,20.49507452663559,3.495074526635591,3.495074526635591,14.0
478,2026-02-07 18:00:00+03:00,low,dinner,18,1.0,4.494833874699353,3.494833874699353,3.494833874699353,1.0
12,2026-02-26 15:00:00+03:00,medium,afternoon,15,16.0,12.50633728692113,-3.4936627130788693,3.4936627130788693,14.0
35,2026-03-28 11:00:00+03:00,high,lunch,11,35.0,31.52260484517617,-3.4773951548238315,3.4773951548238315,30.0
10,2026-04-05 11:00:00+03:00,medium,lunch,11,15.0,11.526089281908039,-3.473910718091961,3.473910718091961,14.0
7,2026-03-05 11:00:00+03:00,high,lunch,11,32.0,28.52786715971541,-3.4721328402845906,3.4721328402845906,30.0
25,2026-02-03 11:00:00+03:00,medium,lunch,11,15.0,18.465598924586647,3.465598924586647,3.465598924586647,14.0
434,2026-03-12 11:00:00+03:00,medium,lunch,11,16.0,19.456587339053534,3.4565873390535344,3.4565873390535344,14.0
12,2026-04-08 11:00:00+03:00,medium,lunch,11,17.0,20.456015207846114,3.4560152078461144,3.4560152078461144,14.0
142,2026-02-06 11:00:00+03:00,medium,lunch,11,16.0,12.544333354113668,-3.455666645886332,3.455666645886332,14.0
1,2026-02-25 11:00:00+03:00,medium,lunch,11,17.0,13.545938124971762,-3.4540618750282377,3.4540618750282377,14.0
12,2026-02-24 18:00:00+03:00,medium,dinner,18,15.0,11.549973143039725,-3.4500268569602746,3.4500268569602746,14.0
69,2026-03-21 11:00:00+03:00,mega,lunch,11,61.0,64.44704639606118,3.4470463960611823,3.4470463960611823,49.0
14,2026-03-03 11:00:00+03:00,medium,lunch,11,15.0,18.446239387819002,3.446239387819002,3.446239387819002,14.0
12,2026-01-30 15:00:00+03:00,medium,afternoon,15,14.0,10.557328968597941,-3.4426710314020585,3.4426710314020585,14.0
8,2026-03-12 11:00:00+03:00,high,lunch,11,34.0,37.43965859982882,3.4396585998288174,3.4396585998288174,30.0
26,2026-03-08 11:00:00+03:00,medium,lunch,11,17.0,13.571677695974085,-3.428322304025915,3.428322304025915,14.0
25,2026-03-02 11:00:00+03:00,medium,lunch,11,21.0,17.577176941173445,-3.4228230588265554,3.4228230588265554,14.0
115,2026-02-18 11:00:00+03:00,medium,lunch,11,18.0,21.422572678776774,3.422572678776774,3.422572678776774,14.0
478,2026-03-01 15:00:00+03:00,low,afternoon,15,1.0,4.419746381618039,3.4197463816180393,3.4197463816180393,1.0
7,2026-02-24 11:00:00+03:00,high,lunch,11,31.0,27.58314374437605,-3.4168562556239515,3.4168562556239515,30.0
12,2026-01-31 15:00:00+03:00,medium,afternoon,15,14.0,10.585174801551393,-3.4148251984486073,3.4148251984486073,14.0
10,2026-04-02 11:00:00+03:00,medium,lunch,11,21.0,17.595537045032042,-3.4044629549679577,3.4044629549679577,14.0
516,2026-04-12 09:00:00+03:00,low,morning,9,8.0,4.596931887286339,-3.403068112713661,3.403068112713661,1.0
115,2026-04-08 15:00:00+03:00,medium,afternoon,15,14.0,10.597459791240926,-3.402540208759074,3.402540208759074,14.0
434,2026-02-04 11:00:00+03:00,medium,lunch,11,15.0,18.38389902043581,3.383899020435809,3.383899020435809,14.0
115,2026-02-06 11:00:00+03:00,medium,lunch,11,25.0,21.618476179046734,-3.381523820953266,3.381523820953266,14.0
30,2026-01-31 11:00:00+03:00,high,lunch,11,34.0,30.619416182704235,-3.380583817295765,3.380583817295765,30.0
9,2026-03-21 21:00:00+03:00,medium,late_evening,21,14.0,10.625364407831219,-3.374635592168781,3.374635592168781,14.0
115,2026-03-02 11:00:00+03:00,medium,lunch,11,17.0,20.374402935852533,3.374402935852533,3.374402935852533,14.0
25,2026-03-10 11:00:00+03:00,medium,lunch,11,21.0,17.627203209795127,-3.372796790204873,3.372796790204873,14.0
123,2026-03-31 09:00:00+03:00,medium,morning,9,17.0,13.628308927628762,-3.371691072371238,3.371691072371238,14.0
478,2026-02-20 15:00:00+03:00,low,afternoon,15,2.0,5.36783370026304,3.3678337002630396,3.3678337002630396,1.0
123,2026-02-28 11:00:00+03:00,medium,lunch,11,25.0,21.63629964695647,-3.36370035304353,3.36370035304353,14.0
9,2026-03-26 18:00:00+03:00,medium,dinner,18,14.0,10.637919214847678,-3.3620807851523224,3.3620807851523224,14.0
12,2026-03-01 11:00:00+03:00,medium,lunch,11,22.0,25.345744482188707,3.3457444821887066,3.3457444821887066,14.0
115,2026-02-06 18:00:00+03:00,medium,dinner,18,15.0,11.659238115861138,-3.340761884138862,3.340761884138862,14.0
478,2026-03-20 15:00:00+03:00,low,afternoon,15,1.0,4.330539780024441,3.3305397800244414,3.3305397800244414,1.0
25,2026-03-09 11:00:00+03:00,medium,lunch,11,14.0,17.32464269379711,3.3246426937971094,3.3246426937971094,14.0
8,2026-03-02 11:00:00+03:00,high,lunch,11,40.0,36.68199352642302,-3.318006473576979,3.318006473576979,30.0
69,2026-02-28 11:00:00+03:00,mega,lunch,11,59.0,62.31789593438972,3.3178959343897176,3.3178959343897176,49.0
37,2026-03-03 11:00:00+03:00,medium,lunch,11,15.0,11.682592082089753,-3.3174079179102467,3.3174079179102467,14.0
8,2026-02-05 11:00:00+03:00,high,lunch,11,35.0,38.31455658329666,3.314556583296657,3.314556583296657,30.0
434,2026-04-07 11:00:00+03:00,medium,lunch,11,20.0,16.686884606660644,-3.3131153933393556,3.3131153933393556,14.0
1,2026-04-03 11:00:00+03:00,medium,lunch,11,15.0,11.689276695390788,-3.310723304609212,3.310723304609212,14.0
478,2026-04-06 18:00:00+03:00,low,dinner,18,8.0,4.692492527694712,-3.3075074723052884,3.3075074723052884,1.0
69,2026-04-13 11:00:00+03:00,mega,lunch,11,50.0,46.69849115835524,-3.301508841644761,3.301508841644761,49.0
478,2026-02-25 15:00:00+03:00,low,afternoon,15,4.0,0.7006566589245437,-3.2993433410754562,3.2993433410754562,1.0
7,2026-03-11 11:00:00+03:00,high,lunch,11,30.0,26.714140982244313,-3.285859017755687,3.285859017755687,30.0
115,2026-02-10 15:00:00+03:00,medium,afternoon,15,14.0,10.72008143291721,-3.27991856708279,3.27991856708279,14.0
11,2026-04-03 00:00:00+03:00,medium,deep_night,0,15.0,18.277156901407544,3.277156901407544,3.277156901407544,14.0
101,2026-02-17 11:00:00+03:00,medium,lunch,11,20.0,16.726947166897045,-3.2730528331029554,3.2730528331029554,14.0
18,2026-04-12 09:00:00+03:00,medium,morning,9,14.0,10.727933433355489,-3.2720665666445115,3.2720665666445115,14.0
25,2026-04-02 11:00:00+03:00,medium,lunch,11,14.0,17.269038641792193,3.269038641792193,3.269038641792193,14.0
11,2026-02-20 00:00:00+03:00,medium,deep_night,0,19.0,22.258099013775734,3.258099013775734,3.258099013775734,14.0
9,2026-02-18 11:00:00+03:00,medium,lunch,11,14.0,10.7490386389011,-3.2509613610989003,3.2509613610989003,14.0
26,2026-04-08 11:00:00+03:00,medium,lunch,11,14.0,17.238471293803713,3.2384712938037126,3.2384712938037126,14.0
