segment,threshold,rows,mae,rmse
high,31.0,225,5.241169275939018,6.423950735459967
low,1.0,1910,0.8827622156027746,1.1249443628398381
medium,15.0,986,4.362562531967967,5.720153476084934
mega,49.0,48,7.7154007209204005,9.760055191509117
