iter	Passed	Remaining
403	12021	47490
404	12045	47440
405	12069	47387
406	12097	47350
407	12124	47307
408	12144	47239
409	12173	47211
410	12197	47157
411	12222	47108
412	12249	47069
413	12274	47020
414	12298	46971
415	12326	46934
416	12353	46895
417	12380	46856
418	12400	46791
419	12428	46756
420	12458	46727
421	12491	46708
422	12516	46662
423	12543	46624
424	12572	46592
425	12598	46549
426	12626	46514
427	12670	46536
428	12703	46519
429	12735	46500
430	12767	46476
431	12799	46455
432	12828	46427
433	12854	46384
434	12872	46311
435	12899	46272
436	12931	46252
437	12958	46214
438	12988	46183
439	13014	46142
440	13041	46104
441	13071	46077
442	13097	46033
443	13116	45966
444	13141	45923
445	13166	45876
446	13192	45833
447	13219	45797
448	13242	45743
449	13268	45704
450	13296	45667
451	13319	45617
452	13345	45576
453	13371	45533
454	13396	45490
455	13421	45444
456	13448	45406
457	13472	45359
458	13497	45315
459	13522	45271
460	13548	45230
461	13571	45180
462	13596	45135
463	13620	45087
464	13648	45056
465	13673	45010
466	13698	44966
467	13725	44929
468	13754	44901
469	13781	44862
470	13807	44821
471	13834	44786
472	13859	44743
473	13885	44701
474	13913	44670
475	13942	44638
476	13970	44606
477	13997	44569
478	14019	44517
479	14049	44489
480	14076	44454
481	14100	44406
482	14121	44352
483	14148	44317
484	14171	44266
485	14199	44234
486	14225	44194
487	14247	44144
488	14273	44105
489	14299	44065
490	14321	44015
491	14346	43971
492	14373	43937
493	14397	43893
494	14426	43863
495	14453	43827
496	14478	43786
497	14504	43747
498	14530	43707
499	14554	43663
500	14576	43612
501	14603	43578
502	14633	43551
503	14661	43518
504	14687	43480
505	14712	43438
506	14739	43403
507	14762	43358
508	14788	43320
509	14813	43278
510	14840	43244
511	14860	43188
512	14888	43155
513	14910	43105
514	14939	43076
515	14962	43033
516	14989	42997
517	15011	42947
518	15038	42912
519	15061	42866
520	15084	42820
521	15110	42782
522	15130	42728
523	15161	42705
524	15185	42664
525	15215	42638
526	15238	42592
527	15265	42557
528	15292	42523
529	15316	42481
530	15342	42443
531	15366	42401
532	15390	42360
533	15412	42312
534	15434	42265
535	15461	42231
536	15486	42192
537	15505	42135
538	15533	42105
539	15556	42060
540	15575	42003
541	15597	41958
542	15625	41928
543	15654	41899
544	15677	41853
545	15697	41802
546	15721	41761
547	15744	41717
548	15763	41662
549	15780	41602
550	15801	41554
551	15821	41502
552	15838	41443
553	15863	41404
554	15889	41368
555	15915	41334
556	15942	41301
557	15972	41276
558	15989	41217
559	16013	41177
560	16044	41155
561	16072	41125
562	16088	41063
563	16107	41010
564	16134	40978
565	16160	40943
566	16177	40886
567	16206	40857
568	16222	40799
569	16245	40757
570	16269	40717
571	16292	40674
572	16319	40641
573	16339	40592
574	16363	40552
575	16387	40513
576	16413	40478
577	16434	40432
578	16459	40394
579	16481	40350
580	16505	40311
581	16527	40267
582	16545	40215
583	16573	40185
584	16594	40138
585	16622	40109
586	16657	40096
587	16677	40049
588	16701	40008
589	16716	39949
590	16731	39888
591	16760	39863
592	16790	39839
593	16821	39816
594	16841	39768
595	16857	39711
596	16885	39683
597	16912	39650
598	16938	39616
599	16966	39588
600	16995	39561
601	17028	39543
602	17060	39525
603	17090	39500
604	17109	39451
605	17130	39406
606	17149	39355
607	17168	39307
608	17199	39284
609	17229	39260
610	17263	39246
611	17296	39228
612	17326	39202
613	17363	39195
614	17390	39163
615	17419	39136
616	17448	39110
617	17477	39084
618	17503	39049
619	17524	39006
620	17550	38972
621	17572	38931
622	17600	38901
623	17628	38873
624	17659	38850
625	17691	38831
626	17720	38804
627	17745	38768
628	17763	38718
629	17795	38697
630	17829	38682
631	17863	38666
632	17891	38638
633	17923	38618
634	17945	38576
635	17976	38552
636	18005	38526
637	18037	38505
638	18070	38487
639	18098	38459
640	18136	38451
641	18169	38433
642	18194	38397
643	18225	38376
644	18263	38368
645	18325	38409
646	18376	38428
647	18456	38507
648	18512	38537
649	18622	38677
650	18775	38905
651	18863	39000
652	18978	39148
653	19115	39341
654	19165	39355
655	19218	39374
656	19265	39382
657	19328	39420
658	19408	39493
659	19523	39639
660	19616	39737
661	19693	39802
662	19777	39883
663	19859	39959
664	19942	40035
665	20040	40141
666	20094	40157
667	20147	40174
668	20212	40212
669	20258	40215
670	20303	40213
671	20360	40236
672	20408	40240
673	20476	40284
674	20539	40318
675	20581	40310
676	20629	40315
677	20675	40313
678	20708	40288
679	20761	40302
680	20830	40346
681	20884	40359
682	20928	40355
683	20963	40333
684	21024	40359
685	21110	40436
686	21183	40485
687	21255	40533
688	21349	40623
689	21406	40641
690	21445	40626
691	21486	40612
692	21520	40588
693	21552	40558
694	21584	40529
695	21632	40530
696	21673	40516
697	21700	40479
698	21731	40447
699	21764	40420
700	21809	40413
701	21832	40369
702	21864	40339
703	21904	40323
704	21941	40303
705	21967	40263
706	22000	40235
707	22035	40210
708	22062	40173
709	22091	40137
710	22115	40094
711	22133	40038
712	22166	40010
713	22196	39978
714	22223	39940
715	22251	39904
716	22284	39876
717	22317	39848
718	22342	39805
719	22369	39768
720	22396	39729
721	22426	39695
722	22449	39651
723	22474	39610
724	22500	39569
725	22528	39532
726	22552	39489
727	22572	39439
728	22594	39392
729	22609	39333
730	22637	39298
731	22666	39263
732	22694	39227
733	22720	39188
734	22746	39148
735	22778	39118
736	22801	39075
737	22826	39033
738	22855	38998
739	22884	38964
740	22912	38929
741	22937	38889
742	22965	38853
743	22995	38820
744	23022	38783
745	23051	38749
746	23079	38712
747	23104	38671
748	23130	38633
749	23154	38590
750	23184	38558
751	23207	38514
752	23237	38481
753	23268	38451
754	23295	38414
755	23320	38374
756	23347	38337
757	23374	38300
758	23401	38262
759	23428	38225
760	23453	38185
761	23477	38142
762	23504	38106
763	23531	38068
764	23555	38026
765	23580	37988
766	23606	37948
767	23625	37899
768	23654	37866
769	23684	37833
770	23710	37795
771	23744	37769
772	23795	37770
773	23829	37745
774	23859	37713
775	23901	37699
776	23935	37674
777	23963	37639
778	23990	37602
779	24016	37564
780	24049	37536
781	24087	37517
782	24115	37481
783	24142	37445
784	24175	37418
785	24208	37391
786	24232	37350
787	24267	37325
788	24293	37287
789	24311	37237
790	24338	37199
791	24365	37163
792	24386	37117
793	24413	37080
794	24442	37047
795	24460	36998
796	24480	36950
797	24508	36916
798	24537	36883
799	24571	36857
800	24602	36826
801	24633	36796
802	24661	36762
803	24692	36732
804	24723	36700
805	24752	36668
806	24785	36640
807	24822	36618
808	24855	36591
809	24878	36549
810	24908	36517
811	24940	36489
812	24969	36456
813	24996	36420
814	25024	36385
815	25056	36356
816	25084	36322
817	25106	36279
818	25134	36243
819	25156	36201
820	25182	36163
821	25206	36123
822	25232	36086
823	25261	36053
824	25288	36016
825	25313	35978
826	25337	35938
827	25360	35897
828	25386	35860
829	25410	35819
830	25432	35776
831	25460	35741
832	25489	35709
833	25508	35662
834	25533	35624
835	25557	35584
836	25585	35550
837	25603	35502
838	25630	35467
839	25655	35429
840	25681	35391
841	25708	35356
842	25732	35317
843	25758	35280
844	25782	35240
845	25808	35204
846	25834	35167
847	25856	35126
848	25888	35097
849	25914	35060
850	25939	35022
851	25966	34987
852	25996	34956
853	26020	34917
854	26048	34883
855	26077	34850
856	26091	34798
857	26119	34764
858	26142	34725
859	26169	34689
860	26196	34654
861	26224	34620
862	26251	34586
863	26277	34549
864	26301	34511
865	26328	34476
866	26354	34440
867	26381	34405
868	26406	34367
869	26433	34332
870	26460	34298
871	26484	34259
872	26519	34235
873	26558	34216
874	26587	34183
875	26617	34152
876	26645	34119
877	26670	34081
878	26694	34043
879	26720	34008
880	26745	33970
881	26774	33939
882	26801	33904
883	26830	33871
884	26860	33841
885	26888	33808
886	26915	33773
887	26943	33740
888	26969	33704
889	26996	33669
890	27018	33629
891	27038	33585
892	27064	33549
893	27091	33515
894	27112	33474
895	27128	33425
896	27157	33393
897	27184	33360
898	27215	33330
899	27238	33291
900	27254	33243
901	27272	33198
902	27296	33160
903	27323	33126
904	27354	33096
905	27381	33062
906	27407	33028
907	27432	32991
908	27459	32957
909	27490	32928
910	27512	32888
911	27534	32848
912	27552	32802
913	27580	32771
914	27607	32736
915	27628	32695
916	27652	32658
917	27676	32621
918	27700	32583
919	27727	32549
920	27753	32514
921	27769	32468
922	27798	32436
923	27819	32395
924	27842	32357
925	27859	32311
926	27890	32282
927	27913	32245
928	27937	32207
929	27963	32172
930	27990	32139
931	28019	32108
932	28045	32073
933	28071	32038
934	28085	31990
935	28110	31954
936	28135	31919
937	28159	31882
938	28183	31845
939	28208	31809
940	28231	31772
941	28258	31737
942	28283	31702
943	28302	31660
944	28330	31627
945	28356	31594
946	28375	31551
947	28391	31506
948	28414	31468
949	28442	31436
950	28457	31390
951	28482	31355
952	28499	31310
953	28513	31263
954	28535	31224
955	28562	31192
956	28588	31157
957	28608	31117
958	28632	31081
959	28659	31047
960	28678	31005
961	28691	30958
962	28705	30911
963	28733	30879
964	28758	30845
965	28775	30801
966	28800	30766
967	28827	30733
968	28846	30691
969	28870	30656
970	28896	30622
971	28922	30588
972	28947	30554
973	28969	30516
974	28994	30481
975	29025	30453
976	29053	30421
977	29077	30385
978	29106	30354
979	29133	30322
980	29160	30290
981	29192	30262
982	29220	30231
983	29249	30200
984	29278	30170
985	29308	30141
986	29335	30108
987	29359	30072
988	29385	30039
989	29403	29997
990	29429	29964
991	29454	29929
992	29480	29895
993	29505	29861
994	29523	29820
995	29551	29788
996	29579	29757
997	29609	29727
998	29632	29691
999	29658	29658
1000	29684	29624
1001	29709	29591
1002	29732	29554
1003	29748	29511
1004	29766	29469
1005	29790	29434
1006	29814	29400
1007	29840	29366
1008	29864	29331
1009	29884	29293
1010	29911	29260
1011	29925	29215
1012	29951	29182
1013	29978	29150
1014	30000	29114
1015	30025	29079
1016	30051	29047
1017	30076	29012
1018	30096	28974
1019	30122	28941
1020	30150	28910
1021	30173	28874
1022	30190	28832
1023	30214	28798
1024	30239	28764
1025	30267	28733
1026	30295	28702
1027	30320	28669
1028	30345	28635
1029	30372	28603
1030	30391	28563
1031	30417	28531
1032	30437	28492
1033	30458	28455
1034	30482	28420
1035	30505	28385
1036	30527	28348
1037	30550	28313
1038	30571	28276
1039	30593	28239
1040	30617	28206
1041	30645	28175
1042	30670	28141
1043	30692	28105
1044	30717	28071
1045	30743	28039
1046	30769	28007
1047	30796	27975
1048	30820	27941
1049	30851	27913
1050	30879	27882
1051	30900	27845
1052	30929	27815
1053	30952	27780
1054	30980	27750
1055	31005	27717
1056	31032	27685
1057	31053	27648
1058	31077	27614
1059	31104	27583
1060	31122	27543
1061	31141	27505
1062	31166	27472
1063	31188	27436
1064	31209	27400
1065	31228	27361
1066	31257	27332
1067	31282	27298
1068	31310	27268
1069	31340	27240
1070	31368	27209
1071	31391	27175
1072	31419	27143
1073	31444	27111
1074	31471	27079
1075	31495	27046
1076	31520	27013
1077	31548	26982
1078	31579	26955
1079	31607	26924
1080	31632	26891
1081	31659	26860
1082	31684	26827
1083	31708	26794
1084	31737	26764
1085	31760	26730
1086	31783	26696
1087	31808	26663
1088	31828	26625
1089	31854	26594
1090	31878	26560
1091	31905	26529
1092	31932	26498
1093	31958	26466
1094	31984	26434
1095	32006	26399
1096	32033	26368
1097	32060	26337
1098	32085	26304
1099	32110	26271
1100	32135	26239
1101	32162	26208
1102	32187	26176
1103	32211	26142
1104	32236	26110
1105	32265	26080
1106	32294	26051
1107	32319	26018
1108	32346	25987
1109	32368	25952
1110	32394	25921
1111	32419	25888
1112	32443	25855
1113	32470	25824
1114	32497	25794
1115	32526	25764
1116	32556	25736
1117	32584	25705
1118	32613	25677
1119	32642	25647
1120	32669	25617
1121	32695	25585
1122	32719	25552
1123	32746	25521
1124	32771	25488
1125	32799	25458
1126	32820	25423
1127	32849	25394
1128	32875	25362
1129	32898	25329
1130	32927	25299
1131	32951	25266
1132	32978	25236
1133	33001	25202
1134	33030	25173
1135	33054	25140
1136	33078	25106
1137	33103	25074
1138	33127	25042
1139	33156	25012
1140	33181	24980
1141	33210	24951
1142	33236	24920
1143	33261	24888
1144	33283	24853
1145	33310	24822
1146	33342	24795
1147	33369	24765
1148	33396	24735
1149	33421	24702
1150	33449	24672
1151	33475	24642
1152	33500	24609
1153	33529	24580
1154	33557	24550
1155	33586	24521
1156	33614	24491
1157	33635	24457
1158	33664	24427
1159	33691	24397
1160	33718	24366
1161	33744	24335
1162	33770	24304
1163	33790	24269
1164	33813	24235
1165	33838	24203
1166	33859	24169
1167	33885	24137
1168	33911	24106
1169	33939	24076
1170	33966	24046
1171	33991	24014
1172	34015	23981
1173	34040	23950
1174	34067	23919
1175	34096	23891
1176	34121	23859
1177	34153	23832
1178	34178	23800
1179	34206	23770
1180	34231	23739
1181	34260	23710
1182	34282	23676
1183	34308	23645
1184	34335	23614
1185	34361	23583
1186	34387	23552
1187	34415	23522
1188	34443	23493
1189	34468	23461
1190	34497	23432
1191	34524	23402
1192	34550	23371
1193	34577	23341
1194	34604	23311
1195	34632	23281
1196	34663	23253
1197	34687	23221
1198	34713	23190
1199	34745	23163
1200	34771	23132
1201	34797	23101
1202	34818	23067
1203	34841	23035
1204	34866	23003
1205	34893	22972
1206	34920	22942
1207	34947	22912
1208	34972	22881
1209	34998	22849
1210	35021	22817
1211	35045	22785
1212	35068	22752
1213	35090	22719
1214	35119	22690
1215	35145	22659
1216	35172	22629
1217	35197	22597
1218	35224	22567
1219	35251	22537
1220	35279	22508
1221	35304	22477
1222	35330	22446
1223	35358	22416
1224	35383	22385
1225	35412	22356
1226	35440	22327
1227	35469	22298
1228	35495	22268
1229	35525	22239
1230	35549	22207
1231	35569	22173
1232	35597	22143
1233	35623	22112
1234	35646	22080
1235	35676	22052
1236	35698	22019
1237	35723	21988
1238	35749	21957
1239	35771	21924
1240	35786	21887
1241	35813	21857
1242	35837	21825
1243	35865	21796
1244	35891	21765
1245	35919	21736
1246	35949	21708
1247	35976	21678
1248	36002	21647
1249	36025	21615
1250	36051	21584
1251	36080	21556
1252	36102	21523
1253	36126	21491
1254	36150	21459
1255	36176	21429
1256	36203	21399
1257	36227	21368
1258	36253	21337
1259	36278	21306
1260	36301	21274
1261	36325	21242
1262	36349	21210
1263	36378	21182
1264	36403	21151
1265	36432	21122
1266	36460	21093
1267	36486	21063
1268	36513	21033
1269	36535	21000
1270	36562	20970
1271	36587	20939
1272	36620	20913
1273	36643	20881
1274	36666	20849
1275	36698	20822
1276	36725	20793
1277	36755	20764
1278	36781	20734
1279	36803	20702
