time_bucket,pop_group,base_freq,slots,mean_orders_per_slot,std_orders_per_slot,var_orders_per_slot,cv,zero_share,p50,p90,p99,restaurants,acf_lag1_median,acf_daily_median,acf_weekly_median,season_strength_median,adi_median,cv2_median,mase_median,smape_median
night_22_06,all,30min,150463,0.052225464067578074,0.3443902664883753,0.11860465565193415,6.594297870531994,0.9681516386088275,0.0,0.0,2.0,120,-0.0005768977407167434,-0.0005826135494127244,-0.0010348395998620202,0.0,276.25,0.11728076216712577,0.11192266380236304,0.0
morning_07_10,all,30min,211884,1.0721574068830115,1.8832368622398215,3.546581079298888,1.7564928900829866,0.6376838269996791,0.0,4.0,8.0,98,0.046118640158458,0.01970375257663106,-0.0009564801530368099,0.0035088990906028683,16.388450543167522,0.134152436484798,0.8975658575603987,0.20275503078778645
midday_11_13,all,30min,325611,0.5028884159318942,1.193062429588029,1.4233979608944909,2.3724197889449985,0.7773877418146193,0.0,2.0,5.0,134,0.03331938688683234,0.022350247710554022,0.007163352655014039,0.0028782646727740224,23.945945945945947,0.12480180060959935,0.9499537744679795,0.09962406015037593
afternoon_14_16,all,30min,356934,0.439857228507231,1.1221971379559625,1.2593264164365534,2.55127588050429,0.8006662296110766,0.0,2.0,5.0,135,0.035912499960560236,0.02428750676881626,0.018832240564402865,0.002515723270440029,18.587412587412587,0.11399816131997872,0.9160135473527328,0.15413533834586465
peak_17_18,all,30min,237450,0.28744998947146766,0.8425540015950379,0.7098972456038112,2.9311324837556483,0.8489703095388503,0.0,1.0,4.0,135,0.004130267387569704,0.021708638416698216,0.02825091428352531,0.003389830508474523,24.273972602739725,0.09508407955018747,0.6639269829503336,0.028169014084507043
evening_19_21,all,30min,337637,0.078468888184648,0.44853500830669624,0.20118365367668808,5.716087212185703,0.9566753643706111,0.0,0.0,2.0,134,-0.0007532956685498955,-0.0003772161448509797,-0.0003824091778202572,0.0025703321155715053,221.5,0.10291798475219988,0.5977443609022556,0.0
night_22_06,high_gt_15k,30min,41042,0.1464109936162955,0.5914950456675514,0.34986638904925876,4.0399633323827,0.9177428000584766,0.0,0.0,3.0,27,-0.0011331444759206822,-0.0005934718100890316,-0.003009027081243731,0.0,73.66666666666667,0.17900915722885416,0.44810058855002677,0.0
morning_07_10,high_gt_15k,30min,63799,3.0927444003824514,2.247106397341551,5.049487160973324,0.726573588513707,0.09520525400084641,3.0,6.0,10.0,24,0.07491688580637212,0.04340859290689377,0.013276918189134304,0.0033418159635691946,1.0809315512655768,0.2942470211577127,0.9364510424996237,0.7567411945660534
midday_11_13,high_gt_15k,30min,61134,2.204485229168711,1.7963912334202272,3.227021463509045,0.8148801405657992,0.1591749272090817,2.0,5.0,8.0,23,0.05464114771466793,0.08159415133331029,0.0788680442858401,0.034480599828750846,1.1740282685512367,0.3113725292064,0.972854671890995,0.9265680434853367
afternoon_14_16,high_gt_15k,30min,61134,2.08412667255537,1.8063055738179932,3.2627398260059497,0.8666966349042798,0.19027055321097916,2.0,4.0,8.0,23,0.04854972308415649,0.06972365023133466,0.06715189127870856,0.009991217002456199,1.1956815114709851,0.30008036688632833,0.9042461179737872,0.8966016231053825
peak_17_18,high_gt_15k,30min,40756,1.3720924526450093,1.488697051607306,2.2162189114642854,1.0849830481448357,0.34775247816272453,1.0,3.0,6.0,23,0.017309190504960915,0.09052915129707084,0.0833380410450107,0.04210475362106192,1.5132365499573015,0.30910405918871914,0.8756619718309859,0.9876727028839706
evening_19_21,high_gt_15k,30min,61134,0.30699774266365687,0.8524880054784056,0.7267357994845501,2.776854311962748,0.8333496908430661,0.0,1.0,4.0,23,0.02500179648689611,0.27991608867427625,0.29244870174073795,0.23276915386651054,8.464968152866241,0.2606790950926604,0.7261049473591329,0.24749373433583957
night_22_06,low_lt_5k,30min,97929,0.0046870692031982355,0.07404065751413245,0.005482018965125059,15.796792047279906,0.9956192751891677,0.0,0.0,0.0,82,-0.0005662514156285308,-0.000571755288736417,-0.0006093845216331588,0.0,663.0,0.024065784531645415,0.0,0.0
morning_07_10,low_lt_5k,30min,121174,0.06904121346163368,0.3128563455361184,0.09787909294221511,4.531443319865361,0.9441629392443923,0.0,0.0,2.0,63,0.017611271213576744,-0.001137009664582156,-0.0015489597087834136,0.0036954659233787712,64.70731707317073,0.05821875518974268,0.7429065243175175,0.030131826741996232
midday_11_13,low_lt_5k,30min,235239,0.05234251123325639,0.26953974095797356,0.0726516719556915,5.149537815578068,0.9560829624339502,0.0,0.0,1.0,100,0.010779855624396035,-0.0003772161448509822,-0.0015218715793224092,0.00197793032556437,59.06666666666667,0.09008487654320987,0.6836945304437565,0.03759398496240601
afternoon_14_16,low_lt_5k,30min,266562,0.049661992331990305,0.2667162838003269,0.07113757604425654,5.370631971776911,0.9579910114720027,0.0,0.0,1.0,101,0.023293672823298122,-0.000377216144850991,0.00047137519414408954,0.0018839487565943669,80.54545454545455,0.07112744568154791,0.9340559463038518,0.03007518796992481
peak_17_18,low_lt_5k,30min,177202,0.02646696989875961,0.18906026401372347,0.03574378342893882,7.143253071164142,0.9770205753885396,0.0,0.0,1.0,101,-0.0005649717514124316,-0.0011325028312570756,-0.0005737234652897531,0.001560565025220284,104.23529411764706,0.04419148361820228,0.46461234942120255,0.005633802816901409
evening_19_21,low_lt_5k,30min,247708,0.007593618292505692,0.13583826361676535,0.018452033862417835,17.888476663467152,0.9949295137823566,0.0,0.0,0.0,100,-0.0011303692539562874,-0.0007547169811320757,-0.0007651109410864697,0.0003377044866454404,443.0,0.0,0.44016960708014685,0.0
night_22_06,mid_5k_15k,30min,11492,0.1209537069265576,0.4483285223140501,0.20099846392029974,3.7066125024698304,0.9141141663766098,0.0,0.0,2.0,11,0.03902926658834152,0.038106823507623136,0.02312769373803452,0.0,3.796182536200088,0.2521415688481552,0.7816519362331942,0.0
morning_07_10,mid_5k_15k,30min,26911,0.7986696889747686,1.1078914417607957,1.2274234467268144,1.387171013317116,0.5437553416818401,0.0,2.0,4.0,11,0.1018577971953421,0.05846803334732637,0.006284725862249944,0.002532673949987574,2.0732708089097303,0.3044821538687231,1.0529505723666697,0.9986189579409918
midday_11_13,mid_5k_15k,30min,29238,0.5699432245707641,0.9099714033491504,0.8280479549132221,1.5966000894816645,0.6322935905328682,0.0,2.0,4.0,11,0.06078054142311676,0.08176688065411174,0.08810147355023466,0.009213008134594913,2.5557692307692306,0.2700905141272324,1.0145442346022537,1.0954887218045113
afternoon_14_16,mid_5k_15k,30min,29238,0.5592379779738696,0.9207034129848197,0.8476947746818955,1.6463535189805,0.6426226144059101,0.0,2.0,4.0,11,0.028030918820843676,0.038972024281961566,0.0342439644013965,0.004753812133582169,2.5705996131528046,0.23591450970841174,0.9486940259126199,0.8604189044038668
