interval,slots,mean_orders_per_slot,std_orders_per_slot,var_orders_per_slot,cv,zero_share,p50,p90,p99
15min,931433,0.6540975035241396,1.064130576713946,1.1323738842975553,1.626868427077973,0.6239160519328819,0.0,2.0,4.0
30min,474165,1.2855841321059125,1.7731537245878637,3.144074131019814,1.3792591867817041,0.490403129712231,1.0,4.0,7.0
1h,244868,2.4838851952888903,3.115167879475044,9.704270917313043,1.2541513131860877,0.4010609797931947,1.0,7.0,13.0
2h,124124,4.755728142824917,5.684922193616966,32.31834034747874,1.1953841815356807,0.3467741935483871,3.0,13.0,24.0
3h,80243,6.559213887815759,7.745049103546142,59.985785616340905,1.1807892281014287,0.3211744326607928,4.0,17.0,32.0
