interval,slots,mean_orders_per_slot,std_orders_per_slot,var_orders_per_slot,cv,zero_share,p50,p90,p99
15min,3182157,0.20432178550586913,0.6570440888575685,0.4317069347026724,3.2157319261420363,0.8784839968612486,0.0,1.0,3.0
30min,1619979,0.4015644647245427,1.1316569215245467,1.2806473880344138,2.8181201797843802,0.8298218680612527,0.0,1.0,6.0
1h,833171,0.7790861659851339,2.036931031502478,4.149088027097749,2.6145131571253515,0.7874001855561463,0.0,3.0,10.0
2h,420837,1.4958261749798616,3.76758068915385,14.194664249285001,2.518728948705937,0.7483063513902057,0.0,6.0,18.0
3h,280347,2.0102230450120744,5.0827046870406924,25.833886935665426,2.5284282257395785,0.7304875743275299,0.0,8.0,25.0
