segment,time_segment,rows,mae,rmse,mean_orders,mean_pred
high,afternoon,1142.0,2.7248467553377163,3.4405317821227976,9.8861646234676,10.085892802593756
high,deep_night,83.0,0.5066588614015941,0.8386602271216045,0.4819277108433735,0.13217856365142092
high,dinner,1142.0,2.547626373147655,3.2851482483865304,9.38353765323993,9.767257066924909
high,early_morning,1025.0,1.4075661935691823,1.8029606050900373,2.8858536585365853,2.8634957577187747
high,late_evening,1154.0,1.4037771197572644,1.9116763962324286,3.3665511265164643,3.26861283901478
high,lunch,1145.0,4.256182474608026,5.365055234118446,18.570305676855895,20.343949609038457
high,morning,1147.0,2.560930120454735,3.2446192967439687,8.102877070619007,8.913282229469084
high,opening,246.0,0.9597787985129225,1.5829930672579227,1.853658536585366,1.8009182363624099
low,afternoon,3935.0,0.25229606956705464,0.5524207240479162,0.13799237611181703,0.20725966715163663
low,deep_night,75.0,0.34954228608997273,0.4852055605193959,0.0,0.34954228608997273
low,dinner,3840.0,0.21200838604449418,0.5331388364384922,0.14869791666666668,0.167729341277063
low,early_morning,1266.0,0.04522528966877942,0.15630772248110453,0.018167456556082148,0.02960747301264638
low,late_evening,2727.0,0.09429884100157779,0.2784066903530787,0.0352035203520352,0.0798346604493007
low,lunch,3950.0,0.36078866665628995,1.075373951564768,0.17721518987341772,0.3050646055973572
low,morning,2677.0,0.23336527177176,0.5273681783978013,0.076951811729548,0.1823194418273397
low,opening,58.0,0.48215499645483423,0.5479269849495294,0.0,0.48215499645483423
medium,afternoon,3798.0,1.1833871277870274,1.8667631349904912,2.2359136387572405,1.997917624531992
medium,deep_night,273.0,2.9754636487737978,4.485945221054973,6.164835164835165,7.285960854365195
medium,dinner,3792.0,1.1600090186214962,1.863838665365259,2.2473628691983123,1.923486987493405
medium,early_morning,1678.0,0.7404268892442076,1.1201027592870065,0.9827175208581644,0.8773459812302703
medium,late_evening,3392.0,0.6287625683799176,1.065880138087198,0.8705778301886793,0.8049478903512426
medium,lunch,3806.0,1.60005840219537,2.602267105132379,3.8497109826589595,3.7286785468117514
medium,morning,2756.0,1.0870551994583368,1.789080217932744,2.234034833091437,2.167034521867788
medium,opening,353.0,1.576015628745308,2.8615724182080764,4.135977337110481,3.7410608607405047
mega,afternoon,648.0,3.672893149428585,4.745494476845064,17.03240740740741,17.035590276057164
mega,deep_night,160.0,3.1856014428550887,4.229564865167441,6.75625,5.541452958758365
mega,dinner,648.0,3.632152573737644,4.642251654584739,17.36574074074074,17.736599357393658
mega,early_morning,650.0,2.153016589859134,2.804251078595074,5.92,5.980414121822443
mega,late_evening,655.0,2.1927759472465453,2.7913818630653315,7.258015267175573,7.726496860929033
mega,lunch,649.0,5.569621305435237,7.100491029275428,31.77195685670262,33.42813528510368
mega,morning,649.0,3.5687945827240894,4.467226171278085,14.349768875192604,15.130480874988518
mega,opening,415.0,2.3013207266686244,3.081482128981462,5.886746987951807,5.480969287909028
