segment,threshold,rows,mae,rmse
high,25.0,277,4.435379074910719,5.564215710790041
low,1.0,1448,1.1937413598207283,1.9713506074270104
medium,10.0,1163,4.136895946477225,5.225284782581403
mega,38.0,195,6.98296767797893,8.730507720054971
